Island,An {{Inquisitive}} Kid Who Has Never Seen The Outside World
Island,A {{Proper}} Leader Who Is Afraid Of The Outside World
Lake,Huge Churning Waves
Lake,Sandy Coastline
Lake,Flotsam And Jetsam
Lake,Striders Darting Across The Surface
Lake,Barnacle-Covered Rocks
Lake,A Nearby Vessel You Weren't Expecting To See
Port,Chunky Bridges
Port,Hot Air Balloons
Port,Jetties And Docks
Port,Fidgeting Hoppers
Port,Smug Captains
Port,An {{Adventurous}} Buddy You Once Wandered The World With
Road,Cairns Along The Path
Road,Litter In The Gutters
Road,A Lively Waterway
Road,Grooves In The Ground
Road,A {{Friendly}} Caravan
Road,An Old {{Chill}} Comrade Heading In A Different Direction
Tavern,Dry Places To Sleep
Tavern,Huge Fireplace With A Big Pot Of Stew
Tavern,Barrels And Barrels Of Mead
Tavern,Great Hall Jam-Packed With Layabouts
Tavern,Bar Rat With A Secret Identity
Tavern,A {{Cheerful}} Inkeep Who You Once Called Family
Carnival,Strange Actors
Carnival,Extravagant Displays of Excess
Carnival,A Mysterious Performance
Carnival,A Hungry Crowd
Carnival,Masquerade Accoutrements
Carnival,A {{Glamorous}} Friend Who Has Reinvented Themself
Castle,Long Shadows
Castle,Trophies From Long-Forgotten Wars
Castle,Watchtowers
Castle,A Secret Heart
Castle,The Crest Of A Distant Monarch
Castle,A {{Furious}} Administrator Who Oversees All
Furnace,"A Seething, Flaming Forge"
Furnace,Walls Of Iron Tools
Furnace,Ornate Glassworks
Furnace,"A Legendary Blade, Left Unfinished"
Furnace,An {{Imaginative}} Apprentice Still Learning The Craft
Furnace,A {{Mighty}} Smith With A Burning Grudge
Metropolis,Tall Ramshackle Apartments
Metropolis,Curving Arches
Metropolis,Cobblestone Streets
Metropolis,Laundry Hanging From Windows
Metropolis,More People Than You've Ever Met Before
Metropolis,The Enclave Of A Community You're Proud To Consider Yourself Part Of
Palace,Glorious Halls
Palace,Many Colorful Flags
Palace,Resounding Trumpets
Palace,A Crystal Crown
Palace,A Gleaming Throne
Palace,The Young And {{Royal}} Heir Dreaming Of Freedom
University,Grassy Campus Quad
University,Too-Small Dormitories
University,Vast Banquet Hall With Many LongTables
University,Statues Of The Founders In All Their Glory
University,An {{Inquisitive}} And Hopeful Kid Who Doesn't Want To Be Here
Cave,Darkness Depper Than You Expected
Cave,A Bridge From This World To The Next
Cave,Petroglyphs
Cave,Countless Fungi
Cave,A Voice Of Faraway Winds
Cave,A {{Cautious}} Hermit
Graveyard,Scattered Cairns
Graveyard,Melted Candles
Graveyard,Gravestones
Graveyard,Mysterious Lights
Graveyard,Deep And Profound Silence
Graveyard,"An Old Forgotten Friend, Now {{Dead}}"
Mirage,Too-Vivid Flowers
Mirage,Too-Shining Ramparts
Mirage,Too-Verdant Plantlife
Mirage,Too-Satisfying Food
Mirage,Too-Beautiful Music
Mirage,Too-Friendly Memory Of A Person
Mirror,Glassy Water
Mirror,Salt Flats
Mirror,Perfect Calmness
Mirror,Scratches In The Reflection
Mirror,The Sensation Of An Unfinished World
Mirror,The Sensation Of An Unfinished World
Moor,Distant Wasp-Caws
Moor,Patches Of Wetland
Moor,A Thin Mist
Moor,Gnarled Trees
Moor,A Shiver Down Your Back
Moor,A {{Nervous}} Teen Sneaking Away For Their Love
Wilderness,Tangled Undergrowth
Wilderness,Trees Older Than Any Empire
Wilderness,Something Bigger Than You’ve Ever Imagined
Wilderness,Territorial Bugs
Wilderness,A Pristine Waterfall
Wilderness,A Creature Assumed To Be Extinct
Desert,Sand That Goes On Forever
Desert,Floating Pillars Of Stone
Desert,A Bitter Chill
Desert,The Harsh Sun
Desert,The Horizon Line
Desert,A {{Starving}} Pilgrim With Murky Intentions
Labyrinth,Stone Walls
Labyrinth,Tangled Paths
Labyrinth,Unexpected Hazards
Labyrinth,Chalk-Marked Directions
Labyrinth,A {{Lost}} Innocent At The Heart Of It All
Labyrinth,A {{Heroic}} Guide Who Might Not Be Helpful
Maelstrom,Churning Skies
Maelstrom,Howling Winds
Maelstrom,Screeching Wasps
Maelstrom,Bolts Of Lightning
Maelstrom,Flying Debris
Maelstrom,A {{Mighty}} God Spotted Only In Brief Moments
Mountain,Sharp Cliffs
Mountain,A Treacherous Path
Mountain,A Lonely Flower
Mountain,A Sign Someone Was Here Once
Mountain,An Even Higher Summit
Mountain,A {{Cautious}} Creature Hiding Just Out Of Sight
Ruin,Crumbling Pillars
Ruin,Fragments Of Pottery And Bone
Ruin,Abandoned Blades
Ruin,Monuments To Arrogance
Ruin,The Foundations Of Something Massive
Ruin,The Last {{Grieving}} Survivor Of An Ancient Time
Waste,Dead Trees
Waste,Tiny Struggling Saplings
Waste,Dull Skies
Waste,Craters Blasted In The Ground
Waste,Wisps Of Smoke
Waste,A Fragile People Wandering The Lonely World
